NAME,LATITUDE,LONGITUDE
SCALETTA,46.7,9.95
SCALETTAPASS-E,46.6926,9.93605
SCARADRA VADRECC DI,46.5373,9.00563
SCHAFALP,46.9185,9.09028
SCHAFEGG (PART OF A54E/25),46.675,8.33649
SCHAFEGG-E (PART OF A54E/25),46.6749,8.34956
SCHAFLAEGERSTOECK-N,46.6514,8.24465
SCHALI-E,46.0952,7.73862
SCHALIHORN-S,46.0827,7.70364
SCHALIJOCH-W,46.0935,7.70757
SCHALI-W-I (PART OF B58/29N),46.0908,7.71661
SCHALI-W-II (PART OF B58/29N),46.0925,7.72567
SCHALI-W-III (PART OF B58/29N),46.0961,7.73345
SCHATTMIGSTOCK,46.7534,8.43073
SCHEIDEGG,46.778,8.49273
SCHEIDEGGWETTERHORN-E,46.645,8.11263
SCHEUCHZERHORN-NE,46.5474,8.19225
SCHEUCHZERHORN-SE (PART OF A54G/35N),46.5438,8.19481
SCHILTHORN-W,46.1469,7.88644
SCHIN,46.3625,8.255961
SCHINDLACH,46.7673,8.57762
SCHINHORN-NE,46.4525,7.94754
SCHINHORN-SW,46.448,7.93708
SCHINHORN-W (PART OF B31/19N),46.4507,7.93581
SCHLITTCHUECHEN,46.8583,8.47332
SCHLOSSBERG-N ('73 ONLY AREA),46.8109,8.53268
SCHLOSSBERG-S,46.8065,8.52604
SCHLOSSFIRN,46.8507,8.50858
SCHMADRIFIRN,46.4842,7.89574
SCHMAL,46.097,7.74509
SCHNEEHORN-N,46.5568,7.96025
SCHNEEHUEENER,46.7754,8.57779
SCHOELLI,46.1438,7.73629
SCHOENBUEHL GL.,46.4918,8.0878
SCHOENBUEHL-NW,46.4968,8.08212
SCHOENBUEHL-SE,46.4904,8.08986
SCHOENHUBEL-S,46.6921,8.33155
SCHOENHUBEL-W,46.6949,8.32506
SCHOENTALER FIRN,46.8545,8.4916
SCHRECKFIRN,46.5821,8.11706
SCHRECKHORN-W,46.5902,8.11194
SCHWAERZE-E (PART OF B56/10),45.952,7.79329
SCHWAERZE-W (PART OF B56/10),45.952,7.78684
SCHWARZ,46.42,7.67
SCHWARZ STOECKLI-E,46.6356,8.51999
SCHWARZ STOECKLI-W,46.6348,8.514749
SCHWARZBACH,46.5969,8.61188
SCHWARZBERG,46.02,7.93
SCHWARZHORN GR,46.5157,9.35953
SCHWARZHORN GR,46.7392,9.94344
SCHWARZHORN-NE,46.3366,8.22699
SCHWARZHORN-N-I,46.3846,7.81431
SCHWARZHORN-NW,46.5196,9.1107
SCHWARZHORN-W GR,46.5222,9.05343
SCHWARZHORN-W VS,46.3322,8.22173
SCIORA DAFORA-N,46.3093,9.62493
SEE,46.8932,10.0202
SEEWJINEN,46.0022,7.9497
SEGNAS GLATSCHIU DIL,46.9098,9.25019
SELBSANFT,46.8417,8.98434
SELLA DEL FORNO,46.3291,9.71666
SENFSPITZE-E,46.4724,8.10657
SENFSPITZE-NE,46.4751,8.1027
SENFSPITZE-S,46.4706,8.10004
SENFSPITZE-SE,46.4724,8.10137
SENGGCHUPPA,46.1815,7.99681
SESVENNA,46.7129,10.4109
SEVEREU GLACIER DE,46.0551,7.34949
SEWENZWAECHTEN,46.7632,8.53826
SEX BLANCS,46.0529,6.88307
SEX ROUGE,46.3283,7.2152
SEX VERNAYS-E,46.1336,6.83437
SEX VERNAYS-W,46.1335,6.82661
SIAT,46.869,9.14911
SIBILUFLUE,46.1643,8.02123
SIDELEN,46.5978,8.42004
SIDELEN-E,46.4997,8.4339
SIDELENGRAT-E,46.5898,8.41207
SIDELENGRAT-S,46.5872,8.40419
SIDELENGRAT-W,46.598,8.40569
SIDELEN-N (PART OF B43/07),46.5998,8.40181
SIDELEN-W,46.4971,8.42213
SILBERHORN,46.5425,7.94447
SILBERLOUWENA,46.5371,7.94703
SILBERRITZE-SE (PART OF A56D/09N),46.3628,7.36587
SILLERN,46.465,7.7218
SILVRETTA,46.85,10.08
SIRWOLTE,46.2024,7.9963
SOI GLACIER DE,46.1682,6.91944
SONADON GLACIER DU,45.9255,7.28912
SORDA VADRECC DI,46.538,9.01869
SOVRANA VADREC DA LA,46.3923,9.4696
SPHINX,46.5486,7.98495
SPILLAUBIELFIRN,46.7058,8.69795
SPILLAUIFIRN,46.7103,8.69151
SPITZEN STEIN,46.9917,9.00312
SPULANDA,46.6096,8.77012
STABI GHIACCIAIO DE,46.474,9.09106
STAEFELFIRN,46.8051,8.74351
STALDENFIRN,46.7517,8.77232
STEGEN-N,46.5511,8.517
STEGHORN (PART OF A55C/24N),46.4149,7.5765
STEGHORN-S,46.4149,7.583
STEIN,46.7,8.43
STEIN (NO. 53),46.6967,8.42838
STEINLAUENEN,46.6181,8.24938
STEINLAUIHORN-N,46.6225,8.25336
STEINLAUIHORN-NW,46.6226,8.24944
STEINLIMMI,46.7,8.4
STEITALHORN-NW,46.2049,7.75736
STGEINA MUOTA,46.6033,8.764749
STOCK,46.6711,8.47627
STOCKFIRN,46.7346,8.68946
STOCKHORN-W,46.3836,7.865
STOECKLIFIRN,46.742,8.75245
STOESSENFIRN-I,46.7604,8.4518
STOESSENFIRN-II,46.7612,8.45967
STOESSENFIRN-III,46.7666,8.46632
STOTZIG MUTTENHORN,46.5383,8.44113
STRAHLEGGHORN-SW (PART OF A54L/19),46.5713,8.11693
STRAHLEGGHORN-W,46.5758,8.11437
STRAHLGRAET-NW,46.4082,8.28786
STRAHLHORN-E (PART OF B52/24),46.0101,7.91244
STRAHLHORN-SE,46.0101,7.9034
STREM GLATSCHER  DA,46.741,8.76028
STRUBEL,46.4185,7.5557
STRUBELEGGA-NW,46.4167,7.5687
STUCKLISTOCK (ONLY '73),46.7187,8.48634
STUDERHORN-NE,46.5368,8.1556
STUEFESTEI (ROTTAL),46.5183,7.945422
SUEDL. WYSSHORN-S,46.4345,7.95257
SUEDL. WYSSHORN-SW,46.439,7.95262
SUEDLICHER BREITLOUWENEN,46.5012,7.92324
SULZ,46.4332,8.30907
SULZLI ('73 COMBINED),46.7743,8.40362
SUNNIG-I,46.6157,8.43995
SUNNIG-II,46.6174,8.44651
SURETTA,46.52,9.38
SURETTA LUECKLI,46.5237,9.36242
SURETTA-E (PIZ POR),46.5116,9.38415
SURETTAHORN-W,46.5094,9.358
"SURETTA-W (MAIN, NO. 87)",46.5119,9.36721
SURPLATTAS-I,46.7637,8.82499
SURPLATTAS-II,46.761,8.8223
SUSANFE (PART OF B95/20),46.1312,6.89133
SUSTENLOCHFIRN,46.7433,8.44625
SUT FUINA GLATSCHER DA,46.5353,9.47236
SUTGLATSCHER,46.6349,8.9745
SUZANNE  (PART OF B85/16),45.9789,7.03866
TAELIHORN-N,46.4815,9.56153
TAELLI,46.4148,7.59211
TAELLIBODEN,46.0016,7.9883
TAELLI-E (ZIBELENFLUEHORN) (PART OF C01/12N),46.1272,8.05836
TAELLIHORN-SW,46.1201,8.0337
TAELLI-N,46.3945,8.31235
TAELLI-S,46.3873,8.31093
TAELLI-W,46.1282,8.04155
TALEGGLI,46.7115,8.38811
TALSCHIEN-N,46.5283,8.22848
TAMBO,46.5051,9.29269
TAMBO GHIACCIAIO DEL,46.4954,9.27803
TAMINSER,46.8956,9.34554
TASNA VADRET DA-E,46.8615,10.2575
TELLIN-NE,46.4575,7.8044
TELLIN-SW (PART OF B30/14N),46.4504,7.79004
TENEHET GLACIER DE,46.3601,7.37757
TENNBACH,46.4405,7.77436
TENNBACHHORN-NE (PART OF B30/14N),46.4378,7.78995
TENNBACHLUECKE-NW,46.4441,7.77698
TENNEVERGE,46.0934,6.89042
TERRI GLATSCHER DIL,46.6036,9.02453
TÊTE DE MILON-N (PART OF B62/12N),46.1232,7.68832
TÊTE RONDE-NW,46.3049,7.17514
TEUFELSGRAT-N,46.0832,7.85231
TIATSCHA,46.8331,10.087
TIEFEN,46.62,8.43
TIERBENDER,46.5275,9.12528
TIERBERG,46.3862,7.47503
TIERBERG (PART OF A54G/50N),46.5482,8.20139
TIEREGGHORN-NE,46.3755,7.86104
TIEREGGSATTEL-E,46.3854,7.85851
TISCH VADRET DA,46.6004,9.82733
TITLIS,46.7803,8.43384
TOBIGER,46.6958,8.31723
TORBERG-NE,46.4336,7.95907
TORTIN GLACIER DE (MONT FORT),46.0845,7.3075
TORTIN GLACIER DE (NO. 32),46.0847,7.30678
TOUR SALLIERE GLACIER DE LA -II,46.1232,6.92634
TOUR SALLIERE GLACIER DE LA-I,46.1215,6.93282
TOUR SALLIERE-E,46.1259,6.9289
TOURME DES BOUCS-N,45.9121,7.39869
TOURME DES BOUCS-S,45.9058,7.39612
TOURNELON BLANC,45.975,7.3225
TOURNELON BLANC-E,45.9705,7.32382
TOURNELON BLANC-NE,45.9741,7.32511
TOURNELON BLANC-SE,45.966,7.32254
TRAUNTER OVAS VADRET DA (PART OF E35/12),46.5076,9.74633
TRAUNTER OVAS-W (PART OF E35/12),46.5106,9.72821
TREMOGGIA VADRET DAL,46.3594,9.81672
TREUTSE BO GLACIER DE,45.9538,7.07237
TRIAZZA VADRET DA,46.7655,10.352
TRIENT,46,7.03
TRIEST GL.,46.4293,8.0122
TRIFT (GADMEN),46.67,8.37
TRIFT VS,46.1338,8.0015
TRIFT VS,46.0513,7.68799
TRIFTJI,45.9897,7.82579
TRIFT-NE,46.4938,8.12507
TRIFT-SW,46.4876,8.11067
TRIFTTAELLI,46.6904,8.31845
TRIMMLETEN-W,46.5659,7.93947
TROUYE GLACIER DE LA,45.9372,7.27103
TRUBINASCA VADREC DA LA-E,46.3011,9.58045
TRUBINASCA VADREC DA LA-W,46.3031,9.57144
TSA GLACIER DE LA,46.0209,7.51482
TSALION-I,46.0263,7.51612
TSALION-II,46.0317,7.52129
TSANFLEURON,46.32,7.23
TSARMINE GLACIER DE,46.0479,7.52003
TSAUDERYS GLACIER DES,46.0677,7.42184
TSCHIERVA,46.4,9.88
TSCHIERVA  VADRET DA (NO. 93),46.4014,9.8732
TSCHIERVA VADRETTIN DA,46.4117,9.89709
TSCHINGEL,46.5,7.85
TSCHINGELFIRN,46.717,8.47846
TSCHINGELFIRN (NO. 60),46.488,7.83847
TSCHINGELFIRN-N,46.7817,8.82545
TSCHINGELFIRN-S,46.7682,8.82249
TSCHINGELGRAT-N,46.5132,7.85038
TSCHINGELGRAT-S,46.5078,7.84904
TSCHINGELHORN-NE,46.479,7.84882
TSCHINGELSPITZ-N (GROUP OF GLACIERETS),46.5123,7.84125
TSCHINGELSPITZ-NW,46.5123,7.83604
TSCHINGELSPITZ-S,46.5069,7.84121
TSENA REFIEN-S,46.003,7.44122
TSENA REFIEN-W,46.0102,7.43218
TSESETTE GLACIER DE LA,45.948,7.33032
TSEUDET,45.9,7.25
TSIDJIORE NOUVE,46,7.45
TUMPIV-NE,46.784,8.99054
TUMPIV-S,46.7841,8.98662
TUNNELSPITZ-NE,46.2754,8.09767
TUNNELSPITZ-NW,46.2701,8.08982
TUOI VADRET,46.8479,10.1492
TUORS GLATSCHER  DALLAS,46.5778,8.8685
TURBE (PART OF B46/29N),46.4064,8.28523
TURTMANN,46.143,7.699
TURTMANN (WEST),46.13,7.69
TYFELSGRAT-NW,46.4159,7.88346
UELISTOCK-NE,46.5369,8.27423
UESSER TAL (TOTAL),46.4638,7.82397
UESSERE TURU-SW (PART OF B52/66N),46.037,7.93204
UESSERI GADENLAUIEGG,46.7134,8.36721
UESSERS BARRHORN,46.1564,7.73377
UESSRE BALTSCHIEDER (PART OF B34/06N),46.3971,7.8612
UESSRI GARWYDILIMI,46.6462,8.3334
UF DER WART,46.5134,7.77481
UISTRE STAMMBACH,46.4043,7.85216
UNDERE OESCHINEN,46.4811,7.75898
UNNERBAECH-E (PART OF B35/15N),46.4066,7.96011
UNNERBAECH-MITTE (PART OF B35/15N),46.4048,7.95099
UNNERBAECH-W,46.4021,7.94316
UNTER ROTEGG,46.7777,8.42987
UNTER SCHATZFIRN,46.5769,8.62971
UNTERAAR,46.57,8.22
UNTERBAECHHORN-SW,46.404,7.93538
UNTERBAECHHORN-W,46.4067,7.9328
UNTERE STELLI,46.1591,7.74285
UNTERER GRINDELWALD,46.5767,8.0949
UNTERER THEODUL (PART OF B56/07),45.9342,7.72871
UNTER-SCHINHORN-NW,46.3617,8.24945
URAT,46.7507,8.42675
UREZZAS VADRET D',46.8508,10.1795
URI-ROTSTOCK-E,46.8594,8.54023
USSER WISSBERG-I,46.4929,9.5255
VAL GARVIEL,46.5881,8.83745
VAL MURETTO,46.3433,9.72246
VAL TORTA,46.47,8.53
VALDRAUS GLATSCHER  DA,46.6351,8.96014
VALDRAUS VADREC DEL,46.6298,8.95346
VALLEGGIA,46.4715,8.5061
VALLESA GLATSCHER DA,46.6582,8.91506
VALLORGIA VADRET,46.6896,9.94899
VALSOREY,45.9,7.27
VARUNA VEDRETTA DI (PART CH),46.3474,9.99815
VERMUNT VADRET-E (PART OF E51/04),46.8455,10.1347
VERMUNT VADRET-W (PART OF E51/04),46.8467,10.1242
VERNELA,46.8346,10.0633
VERSTANKLA,46.8431,10.0682
VILUOCH VADRET-E,46.6256,9.91074
VILUOCH-W,46.6312,9.89924
VORAB,46.88,9.17
VORABSATTEL-W,46.8736,9.14794
VORD. GALMIHORN-SW (PART OF B41/13N),46.5034,8.18252
VORD. TIERBERG-NE,46.5525,8.23405
VORD. TIERBERG-NW,46.5517,8.22491
VORD. ZENBAECHENHORN-NE,46.4358,8.04107
VORDER LOCHSTOCK,46.6408,8.5423
VORDER TIERBERG,46.6952,8.39305
VORDERER ROETIFIRN,46.8253,8.92751
VORDRE SCHMADRI,46.4916,7.9052
VOUASSON GLACIER DE,46.0722,7.43476
WAECHSEL BE,46.6147,8.0757
WAECHSEL BE,46.6074,8.08866
WALLENBUR,46.7072,8.4701
WANDFLUE,46.0217,7.60909
WANNENHORN GL.,46.4766,8.0923
WANNENHORN GL. N,46.4828,8.0935
WANNENHORN GL. S,46.4783,8.0986
WANNI,46.3232,8.21771
WASENHORN-E (PART OF B41/13N),46.498,8.17202
WASENHORN-S,46.4963,8.16418
WASENHORN-SE (PART OF B41/13N),46.4963,8.16809
WASUHORN-NW,46.2683,8.08461
WEINGARTEN-N-I (PART OF B55/12),46.0778,7.85227
WEINGARTEN-N-II (PART OF B55/12),46.0732,7.8587
WEINGARTEN-S-I,46.0688,7.8522
WEINGARTEN-S-II,46.0625,7.85474
WEISSHORN GLACIER DU-N-I,46.1115,7.69732
WEISSHORN GLACIER DU-N-II,46.107,7.69859
WEISSHORN GLACIER DU-S,46.0935,7.69723
WEISSHORN-W,46.1025,7.7115
WEISSMIES,46.1265,8.0273
WEISSMIES-NE,46.1283,8.01309
WEISSMIES-S,46.1265,8.01436
WEISSMIES-SE,46.1238,8.01821
WELLENKUPPE-E-II,46.0423,7.68407
WELLENKUPPE-S,46.0414,7.67632
WELLHORN-W,46.6548,8.12973
WENDEN,46.7623,8.43875
WETTERHORN-E,46.6396,8.11909
WICHELPLANGGFIRN,46.7637,8.47936
WICHELPLANG-N (ONLY '73),46.7682,8.48337
WILDELSIGEN-S (PART OF A55B/42N),46.4371,7.69887
WILDEN MATTEN-E,46.5791,8.67673
WILDEN MATTEN-W ('73 ONLY AREA),46.5801,8.67023
WILDI FRAU-N,46.508,7.77868
WILDI FRAU-SW,46.5026,7.78647
WILDSCHLOSS,46.5843,8.04141
WILERHORN-W,46.3775,7.80256
WINDGAELLENFIRN,46.8026,8.72904
WITENWASSEREN,46.5337,8.4724
WITENWASSEREN-W,46.5299,8.46835
WYSSE NOLLEN-E,46.6546,8.40801
WYSSE SCHJIEN-W,46.686,8.31184
WYSSENBACH,46.6305,8.26785
WYSSHORN,46.3808,7.46983
WYSSHORN-E (PART OF B36/01),46.4443,7.95917
WYSSI FRAU-SE (PART OF A55B/29N),46.4891,7.78898
WYSSTAL,46.0834,8.00356
ZADRELL,46.8167,10.0572
ZAPPORT (Z'HORN),46.4838,9.09787
ZAPPORT-BREITSTOCK,46.4852,9.12136
ZAPPORTHORN-SW,46.4783,9.10682
ZAPPORT-TOBEL,46.4914,9.13198
ZENBAECHEN GL.,46.4382,8.0227
ZENBAECHENHORN-E,46.4404,8.03591
ZENDEN,46.7079,8.49005
ZINAL,46.07,7.63
ZINALROTHORN-N,46.0674,7.68935
ZINALROTHORN-SE,46.0575,7.69577
ZMUTT,46,7.63
ZMUTTGRAT-W,45.9812,7.65154
ZUORT VADRET DA,46.737,10.2693
ZWAECHTEN,46.7775,8.54248
ZWISCHBERGEN,46.1066,8.04002
ACODADO,-47.184,-73.569
ALPEHUE,-38.97,-71.52
AMALIA,-50.95,-73.75
AMALIA,-50.913,-73.5292
AMARILLO,-29.303,-70.001
AMEGHINO,-50.4657,-73.3211
ANDREE,-46.899,-73.701
ANIHUE,-44.07,-72.86
ANTUCO,-37.41,-71.34
ARCO,-47.28,-73.28
ARCO,-47.305,-73.419
ARENALES,-47.2498,-73.2938
ASIA,-50.82,-73.73
ASIA,-50.8172,-73.6133
BALMACEDA,-51.38,-73.3
BALMACEDA,-51.366,-73.4052
BAYO,-46.628,-73.233
BENITO,-47.03,-73.9
BERNARDO,-48.62,-73.93
BERNARDO,-48.649,-73.5597
BLANCO CHICO,-41.15,-71.92
BRAVO,-48.6483,-73.1661
BRAVO,-48.5995,-73.293
CACHET,-47.1,-73.2
CACHET,-47.076,-73.448
CACHET NORTE,-47.062,-73.375
CALBUCO 1,-41.32,-72.61
CALBUCO 2,-41.33,-72.61
CALLAQUI,-37.86,-71.17
CALVO,-50.68,-73.35
CASA PANGUE,-41.1372,-71.8797
CAY (LENGUA NORTE),-45.06,-72.99
CERRO BLANCO,-48.33,-72.25
CERRO EL MUERTO 1,-27.05,-68.485
CERRO EL MUERTO 2,-27.05,-68.48
CERRO EL MUERTO ICE CAP,-27.05,-68.48
CERRO VOLCAN,-30.48,-70.28
CERRO YANTELES,-43.52,-72.82
CERRO YANTELES (LENGUA NORTE),-43.52,-72.81
CERRO YANTELES (LENGUA SUR),-43.53,-72.815
CHICO,-49,-73.07
CHICO,-49.1024,-73.1838
CIPRESES,-34.55,-70.37
CIRCO,-46.493,-73.42
COLONIA,-47.25,-73.23
COLONIA,-47.06,-73.539
CONWAY,-54.43,-70.86
CORCOVADO (LENGUA NORTE),-43.19,-72.78
CORRENTOSO,-44.07,-72.86
CORTADERAL,-34.62,-70.32
CRISTAL,-46.737,-73.286
DICKSON,-50.78,-73.15
ECHAURREN,-33.83,-69.91
ECHAURREN NORTE,-33.5778,-70.1311
EL AZUFRE,-35.3,-70.57
EL RINCON,-33.18,-70.28
ERASMO,-46.1,-73.19
ESMERALDA,-33.22,-70.2
ESPERANZA,-29.33,-70.037
ESTRECHO,-29.29,-70.01
EUROPA,-50.3,-73.87
EUROPA,-50.2158,-73.6581
EXPLORADORES,-46.5,-73.17
FIERO,-46.7,-73.2
FIERO,-46.659,-73.303
FRAENKEL,-46.9755,-73.7282
FRAENKEL,-46.976,-73.665
G30,-33.13,-70.13
G32,-33.13,-70.12
GALERIA,-52.7871,-73.0062
GARIBALDI,-54.84,-69.31
GCN01,-52.6417,-73.0368
GCN02,-52.665,-73.0396
GCN03,-52.6448,-73.0294
GCN04,-52.6532,-73.0471
GCN05,-52.6631,-72.9525
GCN06,-52.6599,-72.9591
GCN07,-52.6924,-73.1016
GCN08,-52.7089,-73.0521
GCN09,-52.7529,-73.1081
GCN10,-52.7606,-73.0457
GCN11,-52.752,-73.0354
GCN12,-52.7634,-73.0395
GCN13,-52.7576,-73.0302
GCN14,-52.7664,-73.0316
GCN15,-52.7916,-73.0385
GCN16,-52.7919,-72.9855
GCN17,-52.7967,-72.9827
GCN18,-52.7987,-72.9885
GCN19,-52.8132,-73.0299
GCN20,-52.8188,-73.0318
GCN21,-52.8307,-73.0277
GCN22,-52.8343,-73.011
GCN23,-52.8418,-73.0221
GCN24,-52.8298,-73.0434
GCN25,-52.8341,-73.0593
GCN26,-52.8387,-73.0816
GCN27,-52.871,-73.0342
GCN28,-52.8908,-72.9875
GCN29,-52.8935,-72.9954
GCN30,-52.8805,-73.0318
GCN31,-52.8958,-73.0249
GCN32,-52.9038,-73.0279
GCN33,-52.8907,-73.0485
GCN34,-52.8991,-73.0453
GCN35,-52.9013,-73.063
GCN36,-52.9066,-73.0764
GCN37,-52.8855,-73.0912
GCN38,-52.87,-73.1276
GCN39,-52.8659,-73.1577
GCN40,-52.838,-73.1872
GCN41,-52.8203,-73.1825
GCN42,-52.8133,-73.1395
GCN43,-52.7637,-73.1615
GCN44,-52.8601,-73.2207
GCN45,-52.8792,-73.2142
GCN46,-52.8708,-73.2307
GCN47,-52.8631,-73.2364
GCN48,-52.8795,-73.2976
GCN49,-52.9349,-73.003
GCN50,-52.9291,-73.0006
GCN51,-52.955,-72.9965
GCN52,-52.958,-73.1717
GCN53,-52.9646,-72.9873
GCN54,-52.9595,-73.0073
GCN55,-52.971,-72.995
GCN56,-52.9635,-73.0259
GCN57,-52.9665,-73.0636
GCN58,-52.95,-73.0208
GCN59,-52.9479,-73.0344
GCN60,-52.9361,-73.0623
GCN61,-52.9409,-73.0365
GCN62,-52.9395,-73.0244
GCN63,-52.9205,-73.0293
GCN64,-52.9384,-73.1309
GCN65,-52.9553,-73.1538
GCN66,-52.9546,-72.9826
GCN67,-52.9508,-73.1874
GCN68,-52.9968,-73.0217
GCN69,-52.9952,-73.0128
GCN70,-53.0009,-73.081
GCN71,-53.0019,-73.2148
GCN72,-53.028,-73.0792
GCN73,-53.0406,-73.0779
GCN74,-53.0462,-73.0785
GCN75,-53.057,-73.2508
GCN76,-53.067,-73.2422
GCN77,-53.0649,-73.268
GCN78,-53.0472,-73.2863
GCN79,-53.0542,-73.2787
GCN80,-53.0542,-73.2877
GL 01,-42.75,-72.42
GL 04,-42.83,-72.43
GL 05 (AMARILLO),-42.82,-72.45
GL 08,-42.78,-72.5
GL OLIVARES ALFA,-33.194,-70.2233
GL OLIVARES BETA AND GAMA,-33.129,-70.1852
GLACIAR 1,-54.52,-70.05
GLACIAR 12,-54.75,-69.54
GLACIAR 15,-54.67,-69.69
GLACIAR 16,-54.67,-69.76
GLACIAR 4,-54.55,-69.49
GLACIAR 5,-54.63,-68.84
GLACIAR 7,-54.82,-69.12
GLACIAR 8,-54.88,-69.05
GLACIAR 9,-54.9,-69.11
GLACIAR NIEVES NEGRAS CHILENO,-33.8258,-69.9086
GRAN CAMPO NEVADO (GCN),-52.8,-73.1
GREVE,-48.97,-73.92
GREVE,-48.9036,-73.6564
GREY,-51.02,-73.2
GREY + DICKSON,-50.8414,-73.3154
GROSSE,-46.45,-73.3
GROSSE,-46.55,-73.38
GUALAS,-46.62,-73.6
GUALAS,-46.6,-73.43
GUALAS N-TONGUE,-46.55,-73.67
GUALAS S-TONGUE,-46.55,-73.67
GUALLATIRI 1,-18.42,-69.09
GUALLATIRI 2,-18.425,-69.08
GUALLATIRI 3,-18.425,-69.095
GUALLATIRI ICE CAP,-18.41,-69.08
GUANACO,-29.34804,-70.01573
GUILARDI,-50.358,-73.88
GUILARDI,-50.3287,-73.7198
HPN 1,-47.18,-73.87
HPN 2,-47.23,-73.9
HPN 3,-47.32,-73.92
HPN 4,-47.45,-73.58
HPN2 + HPN3,-47.31,-73.74
HPS 10,-49.5247,-73.6883
HPS 12,-49.6199,-73.5806
HPS 13,-49.779,-73.5453
HPS 15,-49.8517,-73.6562
HPS 19,-49.9588,-73.7029
HPS 28,-50.4382,-73.4745
HPS 29,-50.5039,-73.466
HPS 34,-50.7662,-73.4817
HPS 38,-50.9891,-73.6346
HPS 41,-51.2373,-73.5046
HPS 8,-48.9776,-73.6846
HPS 9,-49.0381,-73.6151
HPS10,-49.536,-73.759
HPS12,-49.68,-73.75
HPS13,-49.72,-73.67
HPS15,-49.8,-73.7
HPS19,-50,-73.92
HPS28,-50.42,-73.58
HPS29,-50.47,-73.6
HPS31,-50.6,-73.55
HPS34,-50.72,-73.53
HPS38,-51.05,-73.75
HPS41,-51.3,-73.57
HPS8,-49,-73.67
HPS9,-49.05,-73.8
HUEMULES,-45.85,-72.92
HYADES,-46.848,-73.224
INEXPLORADO 1,-41.9,-72.2
INEXPLORADO 2,-41.93,-72.2
INEXPLORADO 3,-42,-72.2
ITALIA,-54.89,-69.2
JORGE MONTT,-48.33,-73.5
JORGE MONTT,-48.5215,-73.4944
JUNCAL NORTE,-33.03,-70.1
JUNCAL SUR,-33.08,-70.1
LA PALOMA,-33.19,-70.26
LENGUA,-52.8125,-72.999
LEONES,-46.77,-73.22
LLAIMA,-38.7,-71.73
LONQUIMAY,-38.37,-71.6
LOS PIUQUENES,-34.3703,-70.0871
LUCIA,-48.371,-73.302
LUCIA,-48.4506,-73.2986
MACA (LENGUA ESTE),-45.11,-73.14
MARINELLI,-54.5,-69.57
MARMOLEJO 1,-33.72,-69.92
MARMOLEJO 2,-33.73,-69.93
MARMOLEJO 3,-33.74,-69.93
MARMOLEJO GLACIER GROUP,-33.73,-69.91
MAYO,-50.4352,-73.3794
MAYO NORTE,-50.3063,-73.346
MELIMOYU ESTE,-44.07,-72.86
MELIMOYU OESTE,-44.07,-72.86
MELIMOYU SUR,-44.07,-72.86
MELLIZO SUR,-48.561,-73.1667
MENTOLAT (LENGUA SUR),-44.69,-73.07
MISTRAL,-41.1328,-71.9194
MOCHO,-46.722,-73.293
MOCHO CHOSHUENCO SE,-39.945,-72.015
MOCHO VOLCAN ICE CAP,-39.917,-72.033
MONOS DE AGUA,-32.98,-70.03
MORMEX,-46.485,-73.435
NEF,-47.1,-73.18
NEVADO DE QUEULAT (LENGUA PRINCIPAL),-44.39,-72.43
NEVADO TRES CRUCES 1,-27.05,-68.81
NEVADO TRES CRUCES 2,-27.04,-68.77
NEVADO TRES CRUCES 3,-27.06,-68.775
NEVADO TRES CRUCES 4,-27.11,-68.76
NEVADO TRES CRUCES 5,-27.11,-68.79
NEVADO TRES CRUCES ICE CAP,-27.09,-68.77
NEVADOS DE CHILLAN,-36.87,-71.37
NOROESTE,-52.73,-73.12
NORTE,-41.1344,-71.896
OCCIDENTAL,-48.83,-74
OESTE M,-52.82,-73.17
OESTE N,-52.8,-73.15
OESTE S L,-52.83,-73.23
OESTE S R,-52.83,-73.2
OFHIDRO,-48.42,-73.85
OFHIDRO,-48.4781,-73.6977
OHIGGINS,-48.9067,-73.3474
O'HIGGINS,-48.92,-73.17
OJOS DEL SALADO 1,-27.12,-68.57
OJOS DEL SALADO 2,-27.125,-68.57
OJOS DEL SALADO 3,-27.125,-68.56
OJOS DEL SALADO 4,-27.14,-68.54
OJOS DEL SALADO 5,-27.13,-68.57
OJOS DEL SALADO 6,-27.14,-68.575
OJOS DEL SALADO 7,-27.125,-68.575
OJOS DEL SALADO ICE CAP,-27.11,-68.5
OLIVARES ALFA,-33.19,-70.22
OLIVARES BETA,-33.13,-70.18
OLIVARES GAMA,-33.13,-70.17
OLVIDADO,-50.864,-73.233
Olvidado,-50.836,-73.2331
ORIENTAL,-48.489,-73.034
ORIENTAL,-48.4965,-73.0958
ORTIGAS 1,-29.38,-70.05
ORTIGAS 2,-29.29,-70.03
OSORNO,-41.1,-72.49
PALOMO,-34.58,-70.3
PARED NORTE,-47.47,-73.25
PARED SUR,-47.45,-73.33
PARINACOTA 1,-18.16,-69.14
PARINACOTA 2,-18.16,-69.13
PARINACOTA 3,-18.175,-69.14
PARINACOTA 4,-18.16,-69.15
PARINACOTA 5,-18.17,-69.14
PARINACOTA ICE CAP,-18.16,-69.14
PARRA,-41.1643,-71.9403
PASCUA,-48.389,-73.162
PASCUA,-48.4356,-73.181
PENGUIN,-50.08,-73.92
PENGUIN,-50.06,-73.6535
PETEROA 1,-35.24,-70.58
PETEROA 2,-35.25,-70.59
PETEROA 3,-35.26,-70.6
PETEROA 4,-35.28,-70.59
